Material Name,Fit Type,Low Temp,High Temp,Perc Err,erf param,a,b,c,d,A,B,C,D
Aluminum_1100,Nppoly,0.264,1.061,6.458,0.00e+00,-2.22005e+00,2.07719e+00,2.92536e+01,-1.85104e+01,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Brass,polylog,0.000,972.000,12.931,-1.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-1.53358e+01,2.26108e+01,-9.56794e+00
CFRP,Nppoly,0.134,4.842,14.228,0.00e+00,3.99669e-03,5.20942e-03,-2.17074e-03,2.49809e-04,0.00e+00,0.00e+00,0.00e+00,0.00e+00
CFRP_Clearwater,Nppoly,0.134,4.842,4.852,0.00e+00,3.33889e-03,6.89859e-03,-2.54810e-03,2.64819e-04,0.00e+00,0.00e+00,0.00e+00,0.00e+00
CFRP_DPP,Nppoly,0.698,4.020,7.990,0.00e+00,1.05799e-03,4.36685e-03,-1.26809e-03,9.26410e-05,0.00e+00,0.00e+00,0.00e+00,0.00e+00
CFRP_Graphlite,Nppoly,0.309,4.015,5.398,0.00e+00,2.98036e-03,9.72794e-03,-4.47993e-03,5.71214e-04,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Constantan_lo,Nppoly,3.030,96.800,2.256,9.98910e-02,2.82456e-02,-6.33191e-04,3.63199e-06,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Constantan_hi,polylog,298.000,1070.000,2.167,1.09377e+01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-1.26435e+01,5.28094e+00,-6.94991e-01,0.00e+00
Cu_OFHC,polylog,0.000,325.000,1660.166,-1.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-6.20521e+02,8.59338e+02,-3.96770e+02
G10_FR4,Nppoly,0.304,2.971,4.296,0.00e+00,-2.55459e-03,1.94298e-02,-7.63211e-03,1.09025e-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Kapton,comppoly,0.000,307.000,27.067,5.36000e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-2.38217e+00,4.28343e-01,5.72575e-01
Ketron,Nppoly,0.298,2.851,15.979,0.00e+00,-1.14537e-04,8.60986e-03,-5.86097e-03,1.14031e-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Macor,Nppoly,0.337,3.213,4.722,0.00e+00,-1.19627e-03,4.61593e-03,9.70551e-04,-2.26171e-04,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Manganin,comppoly,0.010,1180.000,9.354,8.42953e+01,6.09794e-02,1.44929e-02,-3.56864e-04,2.39860e-06,-4.93652e-01,1.91869e+00,-8.74471e-01,1.61197e-01
NbTi,polylog,0.116,9.232,23.505,-1.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-2.31297e+00,1.48727e+00,2.62388e-01,4.44392e-01
Phosphorbronze,comppoly,3.220,448.000,4.045,6.67600e+01,3.07772e-01,1.81895e-02,-6.08627e-04,5.47749e-06,2.79098e+01,-3.85396e+01,1.82888e+01,-2.81150e+00
Stainless_Steel,comppoly,0.045,1672.000,6.148,1.19471e+02,5.89480e-02,3.84607e-03,-6.66839e-05,3.13158e-07,-1.56968e+00,2.82413e+00,-1.09799e+00,1.61695e-01
Stainless_Steel_304,comppoly,0.385,1672.000,3.953,1.19786e+02,6.96502e-02,3.01386e-03,-5.04296e-05,2.23367e-07,1.49213e-01,6.23536e-01,-1.71132e-01,3.42081e-02
Stainless_Steel_310_lo,Nppoly,0.374,1.670,2.293,-4.44485e-03,2.00471e-01,-1.66211e-01,4.50594e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Stainless_Steel_310_hi,polylog,148.150,1273.150,2.268,1.25346e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.46708e-01,-2.21432e-01,4.81506e-02,0.00e+00
Stainless_Steel_316_lo,Nppoly,0.045,57.052,3.380,4.80988e-02,6.69184e-03,-2.05278e-04,1.94109e-06,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Stainless_Steel_316_hi,polylog,137.777,1670.150,3.392,-9.78724e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.97904e+00,-7.26205e-01,1.09896e-01,0.00e+00
Stainless_Steel_321,comppoly,0.393,1623.194,4.704,1.16307e+02,6.04956e-02,3.56046e-03,-5.97515e-05,2.72011e-07,-1.24785e+00,2.17727e+00,-7.41366e-01,1.03982e-01
Teflon,polylog,0.133,297.000,16.452,-2.49885e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.85394e+00,-5.84988e-01,3.33076e-02,0.00e+00
Ti6Al4V,polylog,0.061,1173.150,11.491,-1.41506e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.72407e+00,-4.37855e-01,4.84062e-02,0.00e+00
Torlon,Nppoly,0.303,2.977,3.265,0.00e+00,-7.52786e-04,1.52769e-02,-8.17215e-03,1.34033e-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00
VESPEL,Nppoly,0.322,3.032,26.714,0.00e+00,2.53032e-04,3.15702e-03,-1.80723e-03,3.40509e-04,0.00e+00,0.00e+00,0.00e+00,0.00e+00
